datum,preis
2025-06-05,558.16
2025-06-04,557.8
2025-06-03,558.4
2025-06-02,549.76
2025-05-30,553.32
2025-05-29,553.66
2025-05-28,556.74
2025-05-27,554.48
2025-05-26,549.52
2025-05-23,544.86
2025-05-22,552.16
2025-05-21,556.74
2025-05-20,562.54
2025-05-19,562.2
2025-05-16,566.18
2025-05-15,562.0
2025-05-14,560.48
2025-05-13,561.46
2025-05-12,556.52
2025-05-09,535.48
2025-05-08,536.88
2025-05-07,526.14
2025-05-06,528.42
2025-05-05,531.94
2025-05-02,532.36
2025-04-30,517.7
2025-04-29,516.3
2025-04-28,513.46
2025-04-25,512.68
2025-04-24,510.38
2025-04-23,504.72
2025-04-22,488.08
2025-04-17,494.92
2025-04-16,502.0
2025-04-15,510.5
2025-04-14,506.46
2025-04-11,492.63
2025-04-10,498.35
2025-04-09,479.34
2025-04-08,505.0
2025-04-07,487.44
2025-04-04,501.08
2025-04-03,523.3
2025-04-02,553.66
2025-04-01,553.82
2025-03-31,547.02
2025-03-28,549.04
2025-03-27,562.28
2025-03-26,565.0
2025-03-25,567.34
2025-03-24,567.14
2025-03-21,554.52
2025-03-20,556.2
2025-03-19,552.92
2025-03-18,546.32
2025-03-17,549.72
2025-03-14,549.0
2025-03-13,542.52
2025-03-12,547.16
2025-03-11,542.34
2025-03-10,553.88
2025-03-07,556.94
2025-03-06,568.46
2025-03-05,567.38
2025-03-04,580.42
2025-03-03,601.0
2025-02-28,601.12
2025-02-27,608.3
2025-02-26,606.64
2025-02-25,598.56
2025-02-24,610.36
2025-02-21,618.42
2025-02-20,618.16
2025-02-19,625.12
2025-02-18,621.06
2025-02-17,620.66
2025-02-14,618.24
2025-02-13,619.56
2025-02-12,617.42
2025-02-11,622.16
2025-02-10,624.04
2025-02-07,620.2
2025-02-06,621.58
2025-02-05,614.66
2025-02-04,617.48
2025-02-03,617.86
2025-01-31,623.82
2025-01-30,615.5
2025-01-29,615.92
2025-01-28,614.06
2025-01-27,604.94
2025-01-24,617.64
2025-01-23,621.28
2025-01-22,620.92
2025-01-21,614.38
2025-01-20,614.56
2025-01-17,618.68
2025-01-16,612.7
2025-01-15,611.78
2025-01-14,601.28
2025-01-13,602.6
2025-01-10,602.92
2025-01-09,608.88
2025-01-08,608.38
2025-01-07,607.56
2025-01-06,613.68
2025-01-03,610.42
2025-01-02,610.76
2024-12-30,600.78
2024-12-27,607.08
2024-12-23,604.8
2024-12-20,606.42
2024-12-19,603.76
2024-12-18,613.74
2024-12-17,611.6
2024-12-16,613.18
2024-12-13,611.44
2024-12-12,613.5
2024-12-11,614.72
2024-12-10,611.1
2024-12-09,608.02
2024-12-06,610.74
2024-12-05,610.34
2024-12-04,611.36
2024-12-03,609.34
2024-12-02,611.0
2024-11-29,605.88
2024-11-28,604.06
2024-11-27,601.3
2024-11-26,607.64
2024-11-25,605.14
2024-11-22,606.76
2024-11-21,599.36
2024-11-20,591.74
2024-11-19,591.42
2024-11-18,591.78
2024-11-15,590.18
2024-11-14,599.08
2024-11-13,600.66
2024-11-12,597.96
2024-11-11,597.6
2024-11-08,591.94
2024-11-07,585.46
2024-11-06,582.46
2024-11-05,559.4
2024-11-04,556.38
2024-11-01,561.74
2024-10-31,558.66
2024-10-30,569.42
2024-10-29,571.26
2024-10-28,570.1
2024-10-25,571.68
2024-10-24,568.98
2024-10-23,570.34
2024-10-22,571.68
2024-10-21,569.82
2024-10-18,571.14
2024-10-17,572.38
2024-10-16,566.82
2024-10-15,567.14
2024-10-14,567.08
2024-10-11,561.74
2024-10-10,560.2
2024-10-09,558.84
2024-10-08,553.84
2024-10-07,553.06
2024-10-04,551.0
2024-10-03,547.54
2024-10-02,547.72
2024-10-01,545.68
2024-09-30,544.2
2024-09-27,544.86
2024-09-26,542.66
2024-09-25,543.38
2024-09-24,542.84
2024-09-23,543.44
2024-09-20,539.72
2024-09-19,542.06
2024-09-18,535.52
2024-09-17,538.14
2024-09-16,533.84
2024-09-13,536.92
2024-09-12,532.82
2024-09-11,521.84
2024-09-10,525.4
2024-09-09,522.74
2024-09-06,517.12
2024-09-05,523.72
2024-09-04,527.56
2024-09-03,533.9
2024-09-02,539.48
2024-08-30,534.98
2024-08-29,537.5
2024-08-28,531.04
2024-08-27,531.62
2024-08-26,531.34
2024-08-23,531.48
2024-08-22,533.14
2024-08-21,532.4
2024-08-20,532.3
2024-08-19,532.58
2024-08-16,532.1
2024-08-15,531.58
2024-08-14,522.26
2024-08-13,520.98
2024-08-12,515.88
2024-08-09,514.78
2024-08-08,512.5
2024-08-07,513.2
2024-08-06,507.44
2024-08-05,502.5
2024-08-02,514.1
2024-08-01,535.84
2024-07-31,539.04
2024-07-30,530.76
2024-07-29,531.3
2024-07-26,529.76
2024-07-25,529.9
2024-07-24,531.52
2024-07-23,542.66
2024-07-22,536.78
2024-07-19,534.56
2024-07-18,537.8
2024-07-17,541.08
2024-07-16,547.78
2024-07-15,546.92
2024-07-12,545.14
2024-07-11,543.06
2024-07-10,545.58
2024-07-09,544.74
2024-07-08,542.66
2024-07-05,540.8
2024-07-04,539.78
2024-07-03,539.5
2024-07-02,538.9
2024-07-01,537.56
2024-06-28,541.5
2024-06-27,539.06
2024-06-26,539.34
2024-06-25,538.14
2024-06-24,538.96
2024-06-21,539.66
2024-06-20,540.82
2024-06-19,539.18
2024-06-18,537.82
2024-06-17,535.2
2024-06-14,534.28
2024-06-13,531.2
2024-06-12,528.58
2024-06-11,525.7
2024-06-10,525.1
2024-06-07,522.7
2024-06-06,518.54
2024-06-05,516.82
2024-06-04,509.74
2024-06-03,510.46
2024-05-31,506.28
2024-05-30,510.2
2024-05-29,514.08
2024-05-28,514.16
2024-05-27,515.54
2024-05-24,514.66
2024-05-23,517.58
2024-05-22,517.06
2024-05-21,515.7
2024-05-20,516.44
2024-05-17,513.22
2024-05-16,515.5
2024-05-15,512.66
2024-05-14,508.82
2024-05-13,509.42
2024-05-10,509.92
2024-05-09,508.6
2024-05-08,507.8
2024-05-07,507.38
2024-05-06,503.82
2024-05-03,499.97
2024-05-02,495.12
2024-04-30,500.58
2024-04-29,501.68
2024-04-26,502.22
2024-04-25,492.02
2024-04-24,498.69
2024-04-23,497.96
2024-04-22,492.44
2024-04-19,492.59
2024-04-18,498.08
2024-04-17,497.24
2024-04-16,500.66
2024-04-15,508.12
2024-04-12,509.64
2024-04-11,506.64
2024-04-10,504.96
2024-04-09,501.84
2024-04-08,504.96
2024-04-05,504.86
2024-04-04,508.06
2024-04-03,507.8
2024-04-02,507.76
2024-03-28,511.5
2024-03-27,507.5
2024-03-26,507.92
2024-03-25,507.22
2024-03-22,509.06
2024-03-21,509.1
2024-03-20,501.5
2024-03-19,499.84
2024-03-18,499.16
2024-03-15,493.72
2024-03-14,497.46
2024-03-13,496.49
2024-03-12,496.58
2024-03-11,492.08
2024-03-08,495.25
2024-03-07,494.83
2024-03-06,493.56
2024-03-05,492.29
2024-03-04,496.5
2024-03-01,496.25
2024-02-29,493.42
2024-02-28,492.07
2024-02-27,490.64
2024-02-26,492.2
2024-02-23,494.27
2024-02-22,492.26
2024-02-21,482.52
2024-02-20,482.9
2024-02-19,488.62
2024-02-16,490.18
2024-02-15,488.82
2024-02-14,486.94
2024-02-13,486.66
2024-02-12,491.7
2024-02-09,487.58
2024-02-08,486.68
2024-02-07,486.01
2024-02-06,483.03
2024-02-05,482.5
2024-02-02,481.21
2024-02-01,470.58
2024-01-31,472.53
2024-01-30,476.97
2024-01-29,475.15
2024-01-26,473.31
2024-01-25,473.83
2024-01-24,471.06
2024-01-23,469.3
2024-01-22,468.03
2024-01-19,462.87
2024-01-18,460.09
2024-01-17,458.51
2024-01-16,460.46
2024-01-15,458.06
2024-01-12,457.29
2024-01-11,454.67
2024-01-10,456.16
2024-01-09,456.15
2024-01-08,451.37
2024-01-05,450.54
2024-01-04,452.04
2024-01-03,453.03
2024-01-02,454.19
2023-12-29,454.04
2023-12-28,452.95
2023-12-27,450.57
2023-12-22,453.23
2023-12-21,451.66
2023-12-20,456.34
2023-12-19,454.66
2023-12-18,454.84
2023-12-15,453.45
2023-12-14,449.86
2023-12-13,451.97
2023-12-12,449.75
2023-12-11,448.94
2023-12-08,447.37
2023-12-07,444.78
2023-12-06,443.74
2023-12-05,443.59
2023-12-04,440.87
2023-12-01,441.24
2023-11-30,436.81
2023-11-29,435.5
2023-11-28,435.05
2023-11-27,436.28
2023-11-24,436.51
2023-11-23,438.09
2023-11-22,438.83
2023-11-21,434.28
2023-11-20,434.04
2023-11-17,433.55
2023-11-16,433.26
2023-11-15,435.17
2023-11-14,434.07
2023-11-13,431.89
2023-11-10,429.13
2023-11-09,428.49
2023-11-08,427.67
2023-11-07,429.12
2023-11-06,425.04
2023-11-03,425.58
2023-11-02,423.98
2023-11-01,418.17
2023-10-31,413.18
2023-10-30,409.2
2023-10-27,409.31
2023-10-26,412.99
2023-10-25,416.09
2023-10-24,418.92
2023-10-23,416.58
2023-10-20,418.19
2023-10-19,426.13
2023-10-18,431.01
2023-10-17,432.68
2023-10-16,433.97
2023-10-13,431.86
2023-10-12,433.47
2023-10-11,429.15
2023-10-10,431.68
2023-10-09,426.53
2023-10-06,422.71
2023-10-05,420.45
2023-10-04,421.47
2023-10-03,422.38
2023-10-02,427.33
2023-09-29,426.27
2023-09-28,425.47
2023-09-27,424.54
2023-09-26,423.49
2023-09-25,427.13
2023-09-22,426.97
2023-09-21,427.31
2023-09-20,434.07
2023-09-19,432.89
2023-09-18,436.05
2023-09-15,437.14
2023-09-14,440.38
2023-09-13,435.54
2023-09-12,435.6
2023-09-11,434.89
2023-09-08,435.88
2023-09-07,434.36
2023-09-06,434.95
2023-09-05,439.24
2023-09-04,436.75
2023-09-01,436.64
2023-08-31,435.42
2023-08-30,431.17
2023-08-29,431.06
2023-08-28,427.27
2023-08-25,424.87
2023-08-24,424.77
2023-08-23,425.75
2023-08-22,423.42
2023-08-21,418.88
2023-08-18,418.7
2023-08-17,422.2
2023-08-16,425.1
2023-08-15,425.74
2023-08-14,427.94
2023-08-11,424.25
2023-08-10,426.38
2023-08-09,424.94
2023-08-08,425.77
2023-08-07,426.29
2023-08-04,427.66
2023-08-03,429.0
2023-08-02,431.41
2023-08-01,434.95
2023-07-31,433.51
2023-07-28,433.54
2023-07-27,435.25
2023-07-26,429.09
2023-07-25,430.83
2023-07-24,428.54
2023-07-21,426.72
2023-07-20,426.01
2023-07-19,425.75
2023-07-18,421.34
2023-07-17,419.1
