datum,preis
2025-06-06,130.18
2025-06-05,129.68
2025-06-04,129.58
2025-06-03,129.44
2025-06-02,127.96
2025-05-30,128.48
2025-05-29,128.6
2025-05-28,129.18
2025-05-27,129.08
2025-05-26,128.18
2025-05-23,127.14
2025-05-22,128.42
2025-05-21,129.32
2025-05-20,130.24
2025-05-19,130.08
2025-05-16,130.7
2025-05-15,129.92
2025-05-14,129.46
2025-05-13,129.72
2025-05-12,129.04
2025-05-09,124.94
2025-05-08,125
2025-05-07,123.14
2025-05-06,123.78
2025-05-05,124.44
2025-05-02,124.14
2025-04-30,121.14
2025-04-29,120.7
2025-04-28,120.14
2025-04-25,119.8
2025-04-24,119.42
2025-04-23,118.42
2025-04-22,115.08
2025-04-17,115.82
2025-04-16,116.9
2025-04-15,118.3
2025-04-14,117.1
2025-04-11,113.92
2025-04-10,114.78
2025-04-09,110.5
2025-04-08,115.94
2025-04-07,112.52
2025-04-04,115.8
2025-04-03,121.3
2025-04-02,127.3
2025-04-01,127.52
2025-03-31,126.08
2025-03-28,126.9
2025-03-27,129.64
2025-03-26,130.02
2025-03-25,130.6
2025-03-24,130.46
2025-03-21,128.38
2025-03-20,128.74
2025-03-19,128.46
2025-03-18,127.2
2025-03-17,127.7
2025-03-14,127.08
2025-03-13,125.6
2025-03-12,126.4
2025-03-11,125.06
2025-03-10,127.38
2025-03-07,128.4
2025-03-06,130.52
2025-03-05,130.3
2025-03-04,131.9
2025-03-03,136.1
2025-02-28,135.82
2025-02-27,137.4
2025-02-26,137.22
2025-02-25,135.42
2025-02-24,137.38
2025-02-21,138.98
2025-02-20,138.72
2025-02-19,140
2025-02-18,139.58
2025-02-17,139.44
2025-02-14,138.7
2025-02-13,138.92
2025-02-12,138.3
2025-02-11,139.16
2025-02-10,139.56
2025-02-07,138.66
2025-02-06,138.86
2025-02-05,137.38
2025-02-04,137.84
2025-02-03,137.78
2025-01-31,138.86
2025-01-30,137.64
2025-01-29,137.14
2025-01-28,136.5
2025-01-27,134.88
2025-01-24,137.14
2025-01-23,137.62
2025-01-22,137.48
2025-01-21,136.48
2025-01-20,136.42
2025-01-17,137.02
2025-01-16,135.8
2025-01-15,135.38
2025-01-14,133.32
2025-01-13,133.54
2025-01-10,133.72
2025-01-09,135.06
2025-01-08,135
2025-01-07,134.92
2025-01-06,135.88
2025-01-03,135.24
2025-01-02,135.48
2024-12-30,133.22
2024-12-27,134.36
2024-12-23,133.76
2024-12-20,134.06
2024-12-19,133.84
2024-12-18,135.78
2024-12-17,135.5
2024-12-16,135.96
2024-12-13,135.78
2024-12-12,136.42
2024-12-11,136.7
2024-12-10,136
