# Quelle: https://www.statistik.at/statistiken/volkswirtschaft-und-oeffentliche-finanzen/preise-und-preisindizes/verbraucherpreisindex-vpi/hvpi
# bzw.: https://www.statistik.at/fileadmin/pages/214/2_Verbraucherpreisindizes_ab_1990.pdf
# muss regelmäßig händisch aktualisiert werden
datum,preis
Jan.20,107.6
Feb.20,107.8
Mar.20,108.1
Apr.20,108.1
May.20,107.4
Jun.20,108.0
Jul.20,108.2
Aug.20,108.0
Sep.20,108.5
Oct.20,108.6
Nov.20,108.8
Dec.20,109.4
Jan.21,108.5
Feb.21,109.1
Mar.21,110.3
Apr.21,110.1
May.21,110.5
Jun.21,111.0
Jul.21,111.3
Aug.21,111.4
Sep.21,112.0
Oct.21,112.6
Nov.21,113.4
Dec.21,114.0
Jan.22,113.9
Feb.22,115.3
Mar.22,117.7
Apr.22,118.0
May.22,119.0
Jun.22,120.6
Jul.22,121.8
Aug.22,121.8
Sep.22,123.9
Oct.22,125.1
Nov.22,125.4
Dec.22,125.6
Jan.23,126.7
Feb.23,127.9
Mar.23,128.5
Apr.23,129.4
May.23,129.6
Jun.23,130.3
Jul.23,130.4
Aug.23,130.8
Sep.23,131.4
Oct.23,131.8
Nov.23,132.1
Dec.23,132.7
Jan.24,132.5
Feb.24,133.2
Mar.24,133.8
Apr.24,134.0
May.24,134.0
Jun.24,134.2
Jul.24,134.2
Aug.24,133.8
Sep.24,133.7
Oct.24,134.2
Nov.24,134.6
Dec.24,135.4
Jan.25,136.8
Feb.25,137.5
Mar.25,137.8
Apr.25,138.1
