datum,preis
2025-06-07,91583.53
2025-06-06,88768.24
2025-06-05,91783.0
2025-06-04,92624.4
2025-06-03,92458.45
2025-06-02,93091.61
2025-06-01,92254.82
2025-05-31,91658.58
2025-05-30,92934.15
2025-05-29,95930.69
2025-05-28,96193.03
2025-05-27,96017.01
2025-05-26,95724.26
2025-05-25,94840.16
2025-05-24,94299.53
2025-05-23,98871.82
2025-05-22,96787.03
2025-05-21,94607.69
2025-05-20,94038.28
2025-05-19,94801.89
2025-05-18,92467.03
2025-05-17,92774.92
2025-05-16,92661.58
2025-05-15,92628.75
2025-05-14,93135.41
2025-05-13,92720.52
2025-05-12,92608.06
2025-05-11,93001.16
2025-05-10,91518.25
2025-05-09,91820.35
2025-05-08,85813.63
2025-05-07,85389.76
2025-05-06,83747.75
2025-05-05,83301.35
2025-05-04,84867.76
2025-05-03,85692.96
2025-05-02,85360.41
2025-05-01,83211.49
2025-04-30,82775.56
2025-04-29,83297.37
2025-04-28,82671.17
2025-04-27,83069.1
2025-04-26,83097.06
2025-04-25,82541.33
2025-04-24,82601.29
2025-04-23,82373.98
2025-04-22,75967.76
2025-04-21,74302.9
2025-04-20,74853.66
2025-04-19,74244.37
2025-04-18,74681.53
2025-04-17,73774.73
2025-04-16,74064.19
2025-04-15,74558.64
2025-04-14,73716.11
2025-04-13,75105.76
2025-04-12,73506.17
2025-04-11,70705.92
2025-04-10,75456.18
2025-04-09,69491.45
2025-04-08,72531.24
2025-04-07,71140.7
2025-04-06,76275.9
2025-04-05,76509.59
2025-04-04,75301.41
2025-04-03,75695.38
2025-04-02,78934.69
2025-04-01,76278.01
2025-03-31,76084.45
2025-03-30,76023.33
2025-03-29,77568.36
2025-03-28,80762.25
2025-03-27,80937.69
2025-03-26,81135.61
2025-03-25,80835.79
2025-03-24,79173.13
2025-03-23,77054.9
2025-03-22,77238.36
2025-03-21,77616.23
2025-03-20,79563.23
2025-03-19,75664.51
2025-03-18,76998.99
2025-03-17,75910.65
2025-03-16,77306.59
2025-03-15,76880.3
2025-03-14,74718.53
2025-03-13,77065.46
2025-03-12,75856.73
2025-03-11,72665.19
2025-03-10,74356.46
2025-03-09,79526.43
2025-03-08,80085.8
2025-03-07,83424.91
2025-03-06,83930.0
2025-03-05,82166.19
2025-03-04,82148.34
2025-03-03,90504.08
2025-03-02,82870.36
2025-03-01,81363.99
2025-02-28,81478.68
2025-02-27,79980.89
2025-02-26,84371.15
2025-02-25,87363.06
2025-02-24,91955.06
2025-02-23,92326.34
2025-02-22,91867.91
2025-02-21,93680.66
2025-02-20,92663.03
2025-02-19,91405.04
2025-02-18,91341.53
2025-02-17,91660.71
2025-02-16,92999.09
2025-02-15,92877.18
2025-02-14,92307.83
2025-02-13,94159.6
2025-02-12,92364.09
2025-02-11,94540.71
2025-02-10,93615.43
2025-02-09,93491.74
2025-02-08,93460.28
2025-02-07,93047.15
2025-02-06,92866.57
2025-02-05,94583.33
2025-02-04,98238.9
2025-02-03,95191.75
2025-02-02,97148.35
2025-02-01,98810.37
2025-01-31,100807.15
2025-01-30,99490.25
2025-01-29,97146.0
2025-01-28,97618.0
2025-01-27,97969.5
2025-01-26,99781.97
2025-01-25,99809.81
2025-01-24,99919.47
2025-01-23,99609.01
2025-01-22,101985.07
2025-01-21,97645.26
2025-01-20,98556.6
2025-01-19,101591.66
2025-01-18,101102.33
2025-01-17,97121.78
2025-01-16,97450.22
2025-01-15,93716.55
2025-01-14,92008.04
2025-01-13,92206.75
2025-01-12,92212.77
2025-01-11,92367.36
2025-01-10,89707.53
2025-01-09,92092.77
2025-01-08,93725.15
2025-01-07,98447.21
2025-01-06,95454.57
2025-01-05,95288.5
2025-01-04,95112.09
2025-01-03,94323.14
2025-01-02,91178.23
2025-01-01,90345.89
2024-12-31,89022.97
2024-12-30,89809.01
2024-12-29,91277.96
2024-12-28,90481.98
2024-12-27,91803.34
2024-12-26,95543.42
2024-12-25,94886.06
2024-12-24,90965.5
2024-12-23,91140.92
2024-12-22,93195.44
2024-12-21,93650.43
2024-12-20,94409.73
2024-12-19,96953.12
2024-12-18,101033.25
2024-12-17,100856.75
2024-12-16,99631.3
2024-12-15,96521.67
2024-12-14,96474.25
2024-12-13,95478.47
2024-12-12,96256.94
2024-12-11,91772.0
2024-12-10,92230.5
2024-12-09,95806.83
2024-12-08,94396.5
2024-12-07,94532.37
2024-12-06,91830.05
2024-12-05,94065.65
2024-12-04,91374.29
2024-12-03,91255.0
2024-12-02,92304.34
2024-12-01,91239.47
